time_updated,long,placename,placenameformap,state,levelofgovernmentlocalstatenational,typeofaction,linktosourcenewspressreleaseetc.,datesineffect
2020-03-26T03:29:29.113Z,-118.25,California - Los Angeles,Los Angeles,CA,Local,Eviction Moratorium,https://www.lamayor.org/mayor-garcetti-issues-temporary-restrictions-help-slow-spread-novel-coronavirus-protect-public,Duration of local emergency period
2020-03-26T03:29:29.113Z,-118.25,California - Los Angeles County (unincorporated areas only),Los Angeles County (unincorporated areas),CA,Local,Eviction Moratorium,https://laist.com/latest/post/20200317/coronavirus-los-angeles-public-health-updates-march-17,Thru May 31
2020-03-26T03:29:29.113Z,-118.873611,California - Moorpark,Moorpark,CA,Local,Eviction Moratorium,https://www.mpacorn.com/articles/city-puts-evictions-on-hold-amid-covid-19-crisis/,Thru May 31
2020-03-26T03:29:29.113Z,-119.246667,California - Ojai,Ojai,CA,Local,Eviction Moratorium,http://ojaicity.org/city-orders-a-residential-eviction-moratorium/,Duration of local emergency
2020-03-26T03:29:29.113Z,-119.1825,California - Oxnard,Oxnard,CA,Local,Eviction Moratorium,https://www.vcstar.com/story/news/2020/03/18/oxnard-coronavirus-city-council-update-halt-evictions-waive-utility-fees/5048311002/,Until further notice
2020-03-26T03:29:29.113Z,-116.545278,California - Palm Springs,Palm Springs,CA,Local,Eviction Moratorium,https://www.desertsun.com/story/news/health/2020/03/19/coronavirus-palm-springs-consider-helping-small-businesses-temporarily-halting-evictions/2880251001/,Thru April 2
2020-03-26T03:29:29.113Z,-118.131944,California - Pasadena,Pasadena,CA,Local,Eviction Moratorium,https://www.pasadenastarnews.com/2020/03/17/pasadena-passes-eviction-moratorium-in-response-to-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-118.131944,California - Pasadena,Pasadena,CA,Local,Moratorium on Utility Shutoffs,https://www.pasadenastarnews.com/2020/03/17/pasadena-passes-eviction-moratorium-in-response-to-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-122.347778,California - Richmond,Richmond,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/RichmondCoronavirusCOVID19EvictionMoratorium.pdf,Until further notice
2020-03-26T03:29:29.113Z,-121.494444,California - Sacramento,Sacramento,CA,Local,Eviction Moratorium,https://sacramentocityexpress.com/2020/03/18/city-announces-temporary-ban-on-residential-tenant-evictions/,Thru May 31
2020-03-26T03:29:29.113Z,-117.3,California - San Bernardino,San Bernadino,CA,Local,Eviction Moratorium,https://www.sbsun.com/2020/03/19/coronavirus-concerns-lead-san-bernardino-to-declare-emergency-eviction-moratorium/,Thru March 31
2020-03-26T03:29:29.113Z,-117.3,California - San Bernardino,San Bernadino,CA,Local,Moratorium on Utility Shutoffs,https://www.sbsun.com/2020/03/19/coronavirus-concerns-lead-san-bernardino-to-declare-emergency-eviction-moratorium/,
2020-03-26T03:29:29.113Z,-117.1625,California - San Diego,San Diego,CA,Local,Eviction Moratorium,https://kson.radio.com/blogs/kimo-jensen/city-of-san-diego-passes-covid-19-package,
2020-03-26T03:29:29.113Z,-117.1625,California - San Diego,San Diego,CA,Local,Moratorium on Utility Shutoffs,https://www.sandiego.gov/sites/default/files/mayoralexecutiveorder_covid19.pdf,Thru March 31
2020-03-26T03:29:29.113Z,-122.416389,California - San Francisco,San Francisco,CA,Local,Eviction Moratorium,https://www.nbcbayarea.com/news/local/san-francisco/san-francisco-mayor-declares-moratorium-on-coronavirus-related-evictions/2254382/,Thru April 13
2020-03-26T03:29:29.113Z,-121.9,California - San Jose,San Jose,CA,Local,Eviction Moratorium,https://www.sanjoseca.gov/Home/Components/News/News/969/,Thru April 17
2020-03-26T03:29:29.113Z,-120.45,California - San Luis Obispo County,San Luis Obispo County,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/San-Louis-Obispo-County-Coronavirus-COVID19-Eviction-Moratorium.pdf,Thru May 31
2020-03-26T03:29:29.113Z,-117.881389,California - Santa Ana,Santa Ana,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/SantaAnaCoronavirusCOVID19EvictionMoratorium.pdf,Duration of local emergency
2020-03-26T03:29:29.113Z,-117.881389,California - Santa Ana,Santa Ana,CA,Local,Moratorium on Utility Shutoffs,http://astanehelaw.com/wp-content/uploads/2020/03/SantaAnaCoronavirusCOVID19EvictionMoratorium.pdf,Thru May 18
2020-03-26T03:29:29.113Z,-118.481389,California - Santa Monica,Santa Monica,CA,Local,Eviction Moratorium,https://www.santamonica.gov/Media/Default/CMO/Supplement_1_-_Local_Emergency_-_COVID_19_-_Evictions_and_Fees.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,-118.739444,California - Simi Valley,Simi Valley,CA,Local,Eviction Moratorium,https://www.vcstar.com/story/news/local/2020/03/19/thousand-oaks-coronavirus-oxnard-ventura-county-cities-halt-evictions/2865264001/,
2020-03-26T03:29:29.113Z,-118.150278,California - South Pasadena,South Pasadena,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/SouthPasadenaCoronavirusCOVID19EvictionMoratorium.pdf,Duration of local emergency period
2020-03-26T03:29:29.113Z,-118.875,California - Thousand Oaks,Thousand Oaks,CA,Local,Eviction Moratorium,https://www.toaks.org/home/showdocument?id=25922,Not known--check with City Manager and City Attorney
2020-03-26T03:29:29.113Z,-122.235833,California - Vallejo,Vallejo,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/VallejoCoronavirusCOVID19EvictionMoratorium.pdf,Duration of procalamation of emergency
2020-03-26T03:29:29.113Z,-122.235833,California - Vallejo,Vallejo,CA,Local,Moratorium on Utility Shutoffs,http://astanehelaw.com/wp-content/uploads/2020/03/VallejoCoronavirusCOVID19EvictionMoratorium.pdf,Duration of procalamation of emergency
2020-03-26T03:29:29.113Z,-121.763611,California - Watsonville,Watsonville,CA,Local,Eviction Moratorium,https://www.santacruzsentinel.com/2020/03/23/watsonville-enacts-eviction-moratorium-for-tenants-impacted-by-coronavirus/,Thru May 31
2020-03-26T03:29:29.113Z,-104.990251,Colorado - Denver,Denver,CO,Local,Eviction Moratorium,https://www.denvergov.org/content/denvergov/en/mayors-office/newsroom/2020/city-and-county-of-denver-covid-19-response-update.html,Sheriff deputies deployed away from eviction duties until further notice
2020-03-26T03:29:29.113Z,,Connecticut,Connecticut,CT,State,Eviction Moratorium,https://www.ctpost.com/business/article/As-NY-CA-act-on-evictions-CT-relying-on-court-15137114.php,Thru March 27
2020-03-26T03:29:29.113Z,,Connecticut,Connecticut,CT,State,Moratorium on Utility Shutoffs,https://www.wnpr.org/post/during-covid-19-emergency-connecticut-utilities-will-stop-nonpayment-shut-offs,
2020-03-26T03:29:29.113Z,,Delaware,Delaware,DE,State,Eviction Moratorium,https://courts.delaware.gov/forms/download.aspx?id=120318,No hearings before April 17; current eviction cases rescheduled no earlier than May 1
2020-03-26T03:29:29.113Z,-80.82,Florida - 18th Judicial Circuit (Seminole and Brevard Counties),Seminole and Brevard Counties,FL,Local,Eviction Moratorium,https://flcourts18.org/docs/cir/AO-20-15.pdf,Thru April 15
2020-03-26T03:29:29.113Z,-80.15,Florida - Broward County (Ft. Lauderdale),Broward County,FL,Local,Eviction Moratorium,http://www.17th.flcourts.org/wp-content/uploads/2019/11/2019-85-Gen.pdf,"Duration of state of emergency. Pursuant to Administrative Order No. 2019-85-Gen, no writs of possession can be executed during state of emergency in Broward County."
2020-03-26T03:29:29.113Z,-81.661389,Florida - Jacksonville,Jacksonville,FL,Local,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shutoffs
2020-03-26T03:29:29.113Z,-80.191788,Florida - Miami,Miami,FL,Local,Eviction Moratorium,https://www.miamiherald.com/news/local/community/miami-dade/article241127666.html,Police department will not be carrying out evictions
2020-03-26T03:29:29.113Z,-81.38,Florida - Orange County (Orlando),Orange County,FL,Local,Eviction Moratorium,https://www.orlandosentinel.com/coronavirus/os-bz-orange-county-halts-evictions-20200316-35fjitbulbcwximgeqfwqchiuu-story.html,Sheriff's office suspending evictions until further notice
2020-03-26T03:29:29.113Z,-84.39,Georgia - Atlanta,Atlanta,GA,Local,Moratorium on Utility Shutoffs,https://www.atlantaga.gov/Home/ShowDocument?id=45350,No water shut-offs thru May 10
